8,54293,9165,15
4,54293,9165,229
1,54293,1337,97
8,54293,9165,24
4,54293,1337,1
1,54293,9907,2
2,54293,4485,107
32,54293,9907,94
1,54293,4485,1
1,54293,9165,2
1,54293,9165,2
2,54293,9165,12
1,54293,9165,2
1,54293,4485,2
1,54293,9907,2
2,54293,9165,26
2,54293,1337,20
1,54293,506,70
2,54293,9165,51
1,54293,4485,9
1,54293,9165,11
2,54293,1337,72
1,54293,1337,632
4,54293,9165,366
1,54293,9165,18
2,54293,9165,22
1,54293,4485,173
10,54293,9165,5
1,54293,9907,12
1,54293,4485,2
1,54293,4485,49
3,54293,4485,244
1,54293,4485,4
1,54293,4485,14
2,54293,9907,14
1,54293,4485,128
1,54293,506,116
1,54293,9165,54
2,54293,9907,0
2,54293,9907,3
4,54293,4485,3
1,54293,4485,2
1,54293,4485,6
2,54293,9165,4
2,54293,9907,2
20,54293,9165,2
1,54293,4485,53
2,54293,9165,11
4,54293,9165,74
2,54293,4485,10
4,54293,4485,37
2,54293,670,98
1,54293,1337,295
1,54293,9165,2503
2,54293,4485,10
1,54293,9165,359
1,54293,9165,2
1,54293,506,29
6,54293,9165,2
1,54293,9907,43
1,54293,4485,21
1,54293,4485,86
2,54293,670,2
2,54293,4485,7
2,54293,4485,15
8,54293,4485,45
2,54293,9165,23
2,54293,9907,2
4,54293,4485,34
1,54293,4485,28
2,54293,9907,43
1,54293,4485,837
2,54293,9165,0
1,54293,4485,104
1,54293,9165,28
2,54293,4485,1
1,54293,4485,68
1,54293,4485,24
1,54293,4485,52
1,54293,9907,26
1,54293,9907,60
1,54293,9165,88
1,54293,4485,122
1,54293,4485,4
2,54293,9907,21
1,54293,4485,47
1,54293,4485,2
1,54293,4485,40
1,54293,9907,2
4,54293,9165,25
20,54293,9165,8
6,54293,9165,137
1,54293,9165,2
1,54293,9165,244
1,54293,9165,2
1,54293,4485,308
1,54293,670,24
2,54293,4485,418
1,54293,9165,22
1,54293,9165,5
1,54293,9165,93
4,54293,4485,12
1,54293,4485,35
1,54293,4485,5
1,54293,4485,83
4,54293,40,12
1,54293,4485,20
2,54293,670,572
1,54293,4485,68
2,54293,4485,5
4,54293,127,75
2,54293,670,5
2,54293,4485,6
1,54293,9907,1110
1,54293,9165,290
6,54293,23,119
2,54293,127,2
20,54293,4485,145
8,54293,670,6
1,54293,4485,199
