commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at,total_commits,total_files,days_after_creation,size,stargazers_count,watchers_count,forks_count,network_count
2a0fa19e821d6c26ab6fd9889f40d33259cc6354,rnveach,2016-01-22T01:22:41Z,78,74,4,2,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",767,12,15,2015-09-06 08:00:00,156,21,36,2013-09-10T14:27:02Z,10119,3736,2773,85058,5937,5937,7802,7802
3a2cb4d787e3c626bb0e2e02915cc1c37deb9d0b,rnveach,2015-10-24T01:11:00Z,2509,1262,1247,182,1,"{'addition': 27269, 'deletion': 25457, 'commits': 64}",767,12,15,2015-09-06 08:00:00,156,21,36,2013-09-10T14:27:02Z,10119,3736,2773,85058,5937,5937,7802,7802
1ab08ad4abff024bdd3fbeb6f08a1a4a61c49b65,mkordas,2015-08-16T01:24:08Z,30,15,15,11,2,"{'addition': 2006, 'deletion': 2319, 'commits': 132}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
8620ce7f3e7d62f8a124ab6ed5ee2fbefb156bf3,baratali,2016-01-28T22:52:03Z,799,798,1,6,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
ceedf8077728da8d462bbdf607a89da82e9a5f2b,rnveach,2015-11-06T03:40:26Z,34,17,17,3,1,"{'addition': 44477, 'deletion': 39160, 'commits': 101}",767,12,15,2015-09-06 08:00:00,156,21,36,2013-09-10T14:27:02Z,10119,3736,2773,85058,5937,5937,7802,7802
4be4abc6360709a49b231277a2513905332f9e50,ivanov-alex,2015-07-08T21:42:58Z,217,186,31,7,1,"{'addition': 290, 'deletion': 120, 'commits': 6}",32,2,2,2015-06-07 08:00:00,16,0,5,2013-03-11T15:20:13Z,10119,3736,2773,85058,5937,5937,7802,7802
0f543a21fee9dec9b388bb6f2c42540fe8bf02ec,mkordas,2015-05-03T00:06:04Z,649,325,324,33,2,"{'addition': 1773, 'deletion': 1396, 'commits': 54}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
7a6bf01c4dac8aedcdbd52aeed7500ba7a3ab0f8,oburn,2007-06-04T04:02:05Z,89,69,20,5,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
1951594e90a04aa2f2b14021ce3318604218ba19,oburn,2005-07-27T20:29:28Z,895,893,2,16,2,"{'addition': 520, 'deletion': 226, 'commits': 4}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
e0d62310d703b44445a4844fe5fa9885780ba66e,rnveach,2016-02-23T20:35:55Z,1199,595,604,8,1,"{'addition': 5303, 'deletion': 336, 'commits': 19}",767,12,15,2015-09-06 08:00:00,156,21,36,2013-09-10T14:27:02Z,10119,3736,2773,85058,5937,5937,7802,7802
e794bd04c76a7beb55ebcdf1241d65187903c1c4,rdiachenko,2015-08-01T01:41:26Z,151,141,10,6,1,"{'addition': 576, 'deletion': 235, 'commits': 25}",127,9,12,2015-06-28 08:00:00,20,16,7,2011-06-25T22:10:51Z,10119,3736,2773,85058,5937,5937,7802,7802
d5a27ed79b8484eb78086114bca1b84ec07d40ba,lkuehne,2009-03-17T21:07:25Z,23,11,12,6,4,"{'addition': 0, 'deletion': 0, 'commits': 0}",684,13,20,2002-01-06 08:00:00,158,1,0,2013-08-04T12:17:37Z,10119,3736,2773,85058,5937,5937,7802,7802
6f46bd4e83204417edf9605f97098bb9d34da728,oburn,2010-09-30T03:36:23Z,21254,10627,10627,300,7,"{'addition': 5771, 'deletion': 6091, 'commits': 43}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
7f7db38a097a95c264307123924779380fb40077,os97673,2003-08-12T19:19:00Z,316,134,182,18,1,"{'addition': 473, 'deletion': 162, 'commits': 7}",297,12,13,2003-05-04 08:00:00,92,28,4,2010-10-23T05:35:09Z,10119,3736,2773,85058,5937,5937,7802,7802
c70cf22d39f9abbe0c0e2a42be4faed2ae75621c,rdiachenko,2015-08-29T21:27:43Z,33,28,5,2,1,"{'addition': 3428, 'deletion': 2578, 'commits': 75}",127,9,12,2015-06-28 08:00:00,20,16,7,2011-06-25T22:10:51Z,10119,3736,2773,85058,5937,5937,7802,7802
fca2fd4d07ad057664ec43b83a3835693a1b1c88,mkordas,2015-08-11T20:27:25Z,256,144,112,2,1,"{'addition': 1514, 'deletion': 1557, 'commits': 100}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
07523b8de2b62b79677574b7528355763cd211f9,Vladlis,2016-02-08T17:00:40Z,335,241,94,4,1,"{'addition': 454, 'deletion': 89, 'commits': 6}",166,9,9,2015-05-10 08:00:00,66,17,24,2014-11-11T16:13:00Z,10119,3736,2773,85058,5937,5937,7802,7802
e6d712e4f9461f6b8641cdab50492605e0563721,liscju,2015-12-02T10:45:39Z,35,33,2,5,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",35,4,4,2015-03-01 08:00:00,24,1,87,2014-02-08T23:39:57Z,10119,3736,2773,85058,5937,5937,7802,7802
99ed7a7d2c1861dbf327ea9a421ec56f10c92fc2,oburn,2003-06-09T06:20:19Z,371,304,67,10,1,"{'addition': 9252, 'deletion': 8936, 'commits': 35}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
ee33ed57cd2c88888e9821a2047f587f07283d98,Vladlis,2016-01-02T17:53:18Z,782,372,410,7,1,"{'addition': 1050, 'deletion': 1058, 'commits': 11}",166,9,9,2015-05-10 08:00:00,66,17,24,2014-11-11T16:13:00Z,10119,3736,2773,85058,5937,5937,7802,7802
5a2b09b7a3b5313f94eeb39d40d04058ae400cf5,MEZk,2015-12-28T23:52:24Z,126,124,2,2,1,"{'addition': 1641, 'deletion': 935, 'commits': 46}",243,6,6,2015-05-10 08:00:00,75,11,37,2014-04-09T19:11:43Z,10119,3736,2773,85058,5937,5937,7802,7802
70a6e2e6d34fa5a404e88e45cd62a20a06e19556,MEZk,2015-12-25T20:20:18Z,396,260,136,18,1,"{'addition': 755, 'deletion': 261, 'commits': 39}",243,6,6,2015-05-10 08:00:00,75,11,37,2014-04-09T19:11:43Z,10119,3736,2773,85058,5937,5937,7802,7802
af4ecbf9b557808a05c7b84820b4ffd28990ee33,Vladlis,2015-12-08T06:07:24Z,450,122,328,6,1,"{'addition': 2, 'deletion': 2, 'commits': 1}",166,9,9,2015-05-10 08:00:00,66,17,24,2014-11-11T16:13:00Z,10119,3736,2773,85058,5937,5937,7802,7802
36b91a59d62c9505b835717f00f470c499cf9b30,Vladlis,2015-10-30T16:28:15Z,359,268,91,3,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",166,9,9,2015-05-10 08:00:00,66,17,24,2014-11-11T16:13:00Z,10119,3736,2773,85058,5937,5937,7802,7802
cdf3e56bacd3895262af8a1df9ca5c81f4071970,sabaka,2015-08-26T23:00:30Z,1425,765,660,65,1,"{'addition': 596, 'deletion': 297, 'commits': 17}",68,5,5,2015-07-19 08:00:00,21,4,15,2011-08-25T13:29:12Z,10119,3736,2773,85058,5937,5937,7802,7802
88830ca708e2deb22cae333057ebddd15f7f9c57,romani,2015-10-07T13:35:04Z,160,86,74,7,1,"{'addition': 325, 'deletion': 43, 'commits': 31}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
8d242382f8bb77488b6da23bdd0d2d61583703fc,os97673,2003-11-07T04:49:54Z,272,154,118,16,1,"{'addition': 478, 'deletion': 478, 'commits': 3}",297,12,13,2003-05-04 08:00:00,92,28,4,2010-10-23T05:35:09Z,10119,3736,2773,85058,5937,5937,7802,7802
5ca96679525171c73fc4d5c257301f51d2100071,baratali,2015-08-31T16:47:21Z,830,415,415,124,1,"{'addition': 2571, 'deletion': 2162, 'commits': 44}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
3bd699bd593414d63c7139aa410f13ec8341a027,rdiachenko,2015-08-10T23:54:33Z,543,274,269,36,1,"{'addition': 1533, 'deletion': 1081, 'commits': 25}",127,9,12,2015-06-28 08:00:00,20,16,7,2011-06-25T22:10:51Z,10119,3736,2773,85058,5937,5937,7802,7802
584f7ee1232be96284255540e7249023c327ca8f,mkordas,2015-08-20T19:28:27Z,67,34,33,3,1,"{'addition': 1725, 'deletion': 2142, 'commits': 109}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
