created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,266,9,2009-07-04T04:58:52Z,497,cgdecker,539,539,0,2,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,1721,1705,16,9,2
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,4084,4083,1,52,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,20,11,2010-02-24T18:14:44Z,79,lukesandberg,2056,1789,267,7,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,437,6,2012-09-04T17:55:09Z,41,gk5885,1243,1243,0,6,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,113,10,2012-07-24T20:02:26Z,571,kluever,922,716,206,5,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,20,11,2010-02-24T18:14:44Z,79,lukesandberg,286,286,0,3,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,20,11,2010-02-24T18:14:44Z,79,lukesandberg,106,22,84,2,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,284,177,107,38,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,48,36,12,1,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,66,51,15,1,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,109,41,2011-01-02T20:47:37Z,315,lowasser,73320,73306,14,252,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,113,10,2012-07-24T20:02:26Z,571,kluever,770,769,1,3,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,1471,1379,92,7,1
2014-05-29T16:23:17Z,2021-04-04T02:06:30Z,316970,40727,40727,9103,9103,2481,317,22,2012-05-03T21:23:35Z,1445,cpovirk,6098,6098,0,31,1
2014-08-09T16:45:18Z,2021-04-04T01:05:51Z,26096,65004,65004,20685,20685,3957,2996,8,2011-01-25T09:32:44Z,1313,iluwatar,297,121,176,11,1
2014-08-09T16:45:18Z,2021-04-04T01:05:51Z,26096,65004,65004,20685,20685,3957,7,39,2012-03-16T21:17:10Z,58,fluxw42,110,110,0,3,2
2014-08-09T16:45:18Z,2021-04-04T01:05:51Z,26096,65004,65004,20685,20685,3957,2996,8,2011-01-25T09:32:44Z,1313,iluwatar,272,272,0,9,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,178,151,27,4,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,12,12,0,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,35,17,18,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,2,1,1,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,106,33,2013-05-05T12:20:10Z,595,Tom-Ski,1518,814,704,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,34,22,12,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,107,52,55,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,38,19,19,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,2,2,0,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,355,349,6,5,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,226,221,5,8,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,41,28,13,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,98,35,63,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,23185,11260,11925,186,5
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,50,30,20,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,33,16,17,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,52,31,21,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,7506,7482,24,64,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,13,128,2014-12-30T23:20:41Z,45,intrigus,86,81,5,4,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,8623,8623,0,36,4
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,108,107,1,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,32,80,2014-01-10T10:19:45Z,65,realitix,106,77,29,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,55,38,17,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,109,12,2011-10-01T20:36:05Z,724,MobiDevelop,71392,38353,33039,300,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,123,92,31,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,1351,675,676,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,109,12,2011-10-01T20:36:05Z,724,MobiDevelop,200,200,0,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,892,450,442,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,95,91,4,2,3
