created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,4,2,2,1,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1450,176,2010-11-21T10:27:20Z,9170,snicoll,259,122,137,4,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,615,37,2012-05-21T21:52:15Z,1337,mbhave,89,54,35,2,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1240,146,2011-07-14T09:41:59Z,9920,wilkinsona,63328,23855,39473,300,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,441,264,177,15,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1018,108,2009-07-09T12:46:57Z,507,bclozel,70,34,36,5,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,43,44,2014-01-02T15:55:54Z,466,dreis2211,5,4,1,1,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,6,8,2017-12-26T14:36:28Z,31,ayudovin,17,15,2,2,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1240,146,2011-07-14T09:41:59Z,9920,wilkinsona,96,91,5,3,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,921,921,0,20,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1240,146,2011-07-14T09:41:59Z,9920,wilkinsona,189,188,1,6,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1240,146,2011-07-14T09:41:59Z,9920,wilkinsona,254,243,11,7,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,114,80,2011-10-24T20:27:49Z,130,vpavic,90,84,6,11,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1018,108,2009-07-09T12:46:57Z,507,bclozel,97,54,43,2,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,180,114,66,13,4
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,6108,2821,3287,263,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,6401,3379,3022,169,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1240,146,2011-07-14T09:41:59Z,9920,wilkinsona,93,69,24,22,2
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1450,176,2010-11-21T10:27:20Z,9170,snicoll,15,5,10,2,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1018,108,2009-07-09T12:46:57Z,507,bclozel,70,59,11,5,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,144,76,68,2,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,834,543,291,4,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,158,83,75,26,1
2012-10-19T15:02:57Z,2021-04-03T04:09:17Z,132584,54323,54323,33278,33278,3445,1549,135,2010-12-12T08:58:34Z,4485,philwebb,761,501,260,22,2
