created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num,commit_id
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,47,49,2016-02-19T05:24:20Z,224,maobaolong,24,13,11,2,1,cc8aa1f7111d3896d34d71f23f6c1fa2b6b31991
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,9,9,0,1,4,1b7c62292645a9d1b48b31d6bef9ef9928c2bbf3
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,70,50,20,2,2,1d6f56f5a924fa41f66fd26dac2351c7f220033f
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,31,6,2015-07-20T22:12:56Z,1759,yupeng9,201,110,91,23,1,ae8cfe26d9614b7de5f85acf3ec8f40c8dfb8a5c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,48,14,2012-06-30T07:18:54Z,389,HorizonNet,72,34,38,10,1,4dec76aafac6437fd8cc4188eece1b09bef70409
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,85,9,2011-09-22T19:35:08Z,1655,jsimsa,43,42,1,7,1,9533b27225030c50b05456f52a42d5169ccf3cd9
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,399,199,200,4,2,2cdeaed4b84df6d7c3ca84b72b64126086c23e0c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,86,34,52,1,3,43dbd8e7c1ddfe19ca044014d350526e7b55f0da
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,0,3,2016-03-18T20:02:20Z,362,riversand9,65,51,14,5,1,b5bd71c15985bf91b178e2a33f0237835d2388fc
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,334,307,27,5,1,30354f3894410ce9168a66f89cd137620bc490c3
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,2,3,2017-06-09T17:41:25Z,242,bf8086,260,177,83,3,1,018820a905d77f297f6325a0e3cd16fb02b29659
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,65,33,32,4,2,60219e2cbab44c16452c50485105f9cabe4d82f5
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,323,323,0,1,1,5f8bd5ace6d58a2a325f86b0784146f47339b67c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,729,729,0,2,2,b4bb53c25c8857cceeee9b4a85049141586d3124
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,31,6,2015-07-20T22:12:56Z,1759,yupeng9,107,107,0,2,1,d4bc5b444425b523503ef7858d22b078e515c73d
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,48,14,2012-06-30T07:18:54Z,389,HorizonNet,190,164,26,9,2,d869fdb7ccfc825f24c5124a9f18e2d8fb136254
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,158,124,34,10,3,0c13d2c49641cffd827c4e6dec83da272d552ff4
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,25,50,2010-12-16T05:59:13Z,109,luoli523,281,242,39,8,2,8893243809e70fa097950c7b84f7a4b28b43215f
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,170,97,73,7,1,eef154ce8333840ba0a86f8b4e1ca0415cc3d320
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,2222,2156,66,9,1,3b577be8c93bb4b1c48060e85b42c103471df151
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,277,110,167,2,1,a896d5153f0bb567793c61fe3bddf50f6481aaf6
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,2891,1338,1553,300,2,eddb5c5eb5eb9efd45b6db0a1b90e2464911fbec
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,42,42,0,1,1,f617e7dd7b9f08f66500f58b8bd554a1efe5fbc2
