commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at
929bd902be7b6625eb44dd7c4b6d7b2e1671c10a,odrotbohm,2014-01-29T17:24:49Z,59,17,42,3,1,"{'addition': 4, 'deletion': 0, 'commits': 1}",22,1,1,2013-07-28 08:00:00,22,2792,94,2009-09-18T12:34:24Z
8c347fc99be62e0f8ce6413d0e830f901bc1e97b,philwebb,2013-06-12T21:00:22Z,5824,3424,2400,121,1,"{'addition': 1396, 'deletion': 397, 'commits': 4}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
e60efc7e55933d22ac5d614fd59af64aacabdb5f,dsyer,2013-06-04T15:18:12Z,817,813,4,15,1,"{'addition': 23410, 'deletion': 5617, 'commits': 60}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
6b599b8483e2fad1b679d937bf8de6d4eb269462,cdupuis,2013-11-04T16:16:17Z,1803,1802,1,16,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",122,4,4,2013-09-15 08:00:00,30,36,7,2010-02-19T12:41:24Z
2752177fba54f88d17c69f2c588a59a238ca9c2b,philwebb,2013-07-30T07:02:56Z,357,357,0,8,1,"{'addition': 132536, 'deletion': 128075, 'commits': 63}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
840fdeb50ffce95574a3f291dccae934c0e9119c,philwebb,2013-08-15T00:08:09Z,605,290,315,9,1,"{'addition': 67558, 'deletion': 64540, 'commits': 80}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
628a8c79aa4ba4b9dbf049dde7ec91eea7533300,dsyer,2013-04-29T07:35:01Z,327,206,121,21,1,"{'addition': 25094, 'deletion': 211, 'commits': 18}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
fb6b2244707dd5dfad12d62cb6a3c396555270d1,dsyer,2013-04-24T09:02:07Z,23494,23494,0,294,4,"{'addition': 0, 'deletion': 0, 'commits': 0}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
10c333ea10b7b290eb9f2659ea7b3897d0b6a71a,dsyer,2013-04-26T11:02:49Z,57,48,9,5,2,"{'addition': 0, 'deletion': 0, 'commits': 0}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
8bfe07c7303119393a0ce0e3078d6bd74395f5bd,dsyer,2013-05-08T14:33:25Z,717,110,607,9,1,"{'addition': 31993, 'deletion': 4381, 'commits': 49}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
